date,open,high,low,close,adjclose,volume,ticker,BB_UPPER,BB_MIDDLE,BB_LOWER,pivot,s1,s2,s3,s4,r1,r2,r3,r4,14 period RSI,MACD,SIGNAL,14 period STOCH %K,14 period stochastic RSI.,MFV,14 period ATR,MOM,14 period MFI,ROC,OBV,20 period CCI,14 period EMV,VIm,VIp,ema60,ema20,ema10,ema5,ema5Vol,realGDP_(qrt),consumerPriceIndex_(mo),consumerSentiment_(mo),retailSales_(mo),fedFundRate_(d)
2008-05-13,35.525001525878906,35.7400016784668,35.35499954223633,35.45296550858891,25.279882431030277,9324600,CL,39.834411154810596,37.29072546520448,34.74703977559837,35.57829534862743,35.41785604809032,35.31873648021922,35.158297179682116,34.99785787914501,35.738734649164535,35.837854217035634,35.99829351757274,36.15873281810985,18.9013093845287,-0.8125690095333411,-0.6188114834664802,7.357974959224759,0.28831278632310514,239473910.67520586,0.7130304432686074,-2.4823721753511805,30.964254804719317,-6.9527050411063245,-102969800.0,-100.4907570452331,-0.014144775606290221,1.1795734922419188,0.7994055760738694,0.938420654179072,0.9421848726457447,0.9578090945575451,0.9756646433028419,1.1433573922623232,3934.652,216.632,59.8,357277,1.93
2008-05-14,35.494998931884766,35.8849983215332,35.404998779296875,35.695889118519055,25.561912536621094,8330800,CL,39.59842464203314,37.11801781045978,34.63761097888643,35.51598890976401,35.36891809372397,35.278057589573585,35.13098677353354,34.9839159574935,35.663059725804054,35.75392022995444,35.90099104599448,36.04806186203452,25.124039429289738,-0.8102651171506565,-0.6571022102033155,14.719263035179777,0.2803874040273823,241240408.79637367,0.7008874444369947,-0.42971111854774335,36.80525572651392,-6.165006406012779,-94639000.0,-84.52648839925271,-0.013869260248419618,1.1765701866330387,0.8066309151599473,0.9457057095774387,0.9509664801564399,0.9675056624376007,0.9852481834959123,1.0178529485925765,3934.652,216.632,59.8,357277,2.03
2008-05-15,35.88999938964844,36.150001525878906,35.6349983215332,36.01376780367095,25.81182289123535,9032800,CL,39.34238384158194,36.97170562084789,34.60102740011384,35.66196207311638,35.4786022479821,35.365322356014325,35.18196253088005,34.998602705745775,35.84532189825065,35.95860179021843,36.141961615352706,36.32532144048698,32.43030481853002,-0.773868438922463,-0.6804554559471451,24.25086040898118,0.2804177013069398,245494318.27462083,0.696244685386353,-0.28991301512975554,42.641958203074374,-5.0653822994243045,-85606200.0,-63.731329334568485,-0.0125813381073586,1.1433792608491673,0.8289374016414817,0.9548454520684816,0.9612919123585493,0.9782450334883299,0.9950133700362834,1.0848864320640987,3934.652,216.632,59.8,357277,2.03
2008-05-16,36.20000076293945,36.42499923706055,36.0,36.179130341101285,25.88322639465332,6690200,CL,39.077153211870666,36.84188689987742,34.60662058788418,35.93292255036102,35.73619132630096,35.614650570075376,35.41791934601532,35.22118812195526,36.12965377442108,36.251194530646664,36.44792575470672,36.64465697876678,35.932583121404306,-0.7233421958555368,-0.6890328039288235,29.209258694613123,0.2842774812812082,244443741.6128862,0.7030302143867715,-0.49997401135045294,47.65765528208747,0.14817775672433386,-78916000.0,-43.07731436217165,-0.010652090505397952,1.0886550969964326,0.8676730037915493,0.9598713099795438,0.967285457462325,0.9842815045164622,0.9996517432286174,0.8307304983782807,3934.652,216.632,59.8,357277,1.91
2008-05-19,36.25,36.375,35.935001373291016,36.08173974319953,25.7332763671875,8492600,CL,38.778106069393736,36.708791331651454,34.63947659390917,36.20137652605394,36.03902681749681,35.938726997550525,35.776377288993395,35.614027580436264,36.36372623461107,36.46402605455736,36.62637576311449,36.78872547167162,34.78890441938165,-0.6832819426202761,-0.687882631667114,46.265934842298286,0.28873986757158315,241615660.56652948,0.6880300073032056,-0.5524927374627495,42.196495620740315,-0.6113459313090984,-87408600.0,-43.974679168364254,-0.011841713363013078,1.1253662150866501,0.8616736981626733,0.9579582005851345,0.9663067831738958,0.9832738131084113,0.9974660337749146,1.045037929391152,3934.652,216.632,59.8,357277,1.95
2008-05-20,35.935001373291016,36.30500030517578,35.775001525878906,35.947521495713765,25.626169204711918,7292800,CL,38.51671343490117,36.58556262379964,34.65441181269811,36.130580372163514,35.96250089676068,35.858661220857364,35.69058174545453,35.522502270051696,36.29865984756635,36.402499523469665,36.5705789988725,36.73865847427533,33.2196620695929,-0.6548158842710521,-0.6812692821879017,36.575453342310425,0.3047189869809401,239070621.07149062,0.5308630734754536,-0.7222492097886288,48.63022986260516,-1.9945494025921366,-94701400.0,-49.54436618287009,-0.0012775385278612163,1.0905421146380314,1.0602681694663283,0.9551088158882475,0.9644247160551375,0.9814348640277417,0.9947909297164993,0.9130118407380643,3934.652,216.632,59.8,357277,1.99
2008-05-21,35.88999938964844,36.29499816894531,35.689998626708984,35.81975602146804,25.536924362182617,10621800,CL,38.250499480242915,36.46319392599487,34.67588837174683,36.00917444225615,35.80671490856475,35.68163519665068,35.47917566295928,35.276716129267875,36.21163397594756,36.336713687861625,36.53917322155303,36.74163275524443,31.7514155152721,-0.6352432452276275,-0.672064074795847,28.6886904728386,0.3157146964328573,233005046.32269365,0.5069342949633163,-0.33217540380572785,37.252158385243966,-2.2232660657601278,-105323200.0,-51.64729524222726,-0.0014141492463418648,1.0271831207371298,0.985616451309667,0.9524680935198914,0.9627851063827298,0.9799112036376382,0.9927020483715904,1.260499769311253,3934.652,216.632,59.8,357277,2.03
2008-05-22,35.744998931884766,36.1150016784668,35.57500076293945,35.998427340498026,25.758264541625977,8771400,CL,37.94421389697444,36.3519332792694,34.75965266156437,35.93491760570745,35.70380778057317,35.561027888605395,35.32991806347112,35.098808238336844,36.16602743084172,36.3088073228095,36.539917147943775,36.77102697307805,36.01070465926439,-0.5984163345418949,-0.6573345267450567,42.75264728333282,0.3230256300434326,237989341.0839526,0.4937201836351918,0.06134705842370636,27.028337418651716,-1.83078146410016,-96551800.0,-51.983987657116124,-0.004049657069131475,1.1067572808514141,0.884682961430112,0.9578908620455874,0.969083274289209,0.9861618458487648,0.9980439951388467,1.0338615539595701,3934.652,216.632,59.8,357277,2.05
2008-05-23,35.939998626708984,36.23500061035156,35.869998931884766,36.04852798852637,25.75469970703125,5084800,CL,37.615085719944666,36.249255101273505,34.883424482602344,35.89614326063476,35.689862910903315,35.56242269483886,35.356142345107415,35.14986199537597,36.1024236103662,36.22986382643066,36.4361441761621,36.642424525893546,37.1943333612713,-0.5587471495802561,-0.6376170513120966,48.66868895457293,0.3316280754848448,237878680.11270663,0.4955060069122566,0.34390422433863677,26.817130219308012,-0.2860246539279228,-91467000.0,-29.31348035087615,-0.003340398388816537,1.0724970805628138,0.8887020583181979,0.959865633110242,0.9718002867373382,0.9886547177038189,0.9995274706339075,0.6422178750779987,3934.652,216.632,59.8,357277,1.99
2008-05-27,36.11000061035156,36.44499969482422,36.06999969482422,36.17205732844267,25.86536407470703,6696000,CL,37.23005302784395,36.155801615831265,35.08155020381858,36.051175843587565,35.91174520241325,35.82560480629508,35.68617416512077,35.54674352394645,36.19060648476188,36.27674688088005,36.41617752205436,36.555608163228676,40.13465674671082,-0.5114456225704913,-0.6123827655637756,58.36120683464261,0.34198202841889874,234827362.32448873,0.4888255670928504,0.6071694515056834,32.62111249128775,0.653856808967194,-84771000.0,11.180432405080253,-0.001495794674984355,1.027974589315607,0.9468763783998146,0.9637369691465656,0.976286588075278,0.992760755430921,1.0024592920203537,0.8680356898435763,3934.652,216.632,59.8,357277,2.23
