,open,high,low,close,adjclose,volume,ticker
2002-04-22,64.20999908447266,64.33999633789062,63.06999969482422,63.34000015258789,36.55182647705078,7123600,JNJ
2002-04-23,63.59000015258789,63.95000076293945,62.709999084472656,62.79999923706055,36.24020004272461,6699100,JNJ
2002-04-24,63.189998626708984,64.83000183105469,63.130001068115234,63.61000061035156,36.7076301574707,6929700,JNJ
2002-04-25,63.45000076293945,64.4000015258789,63.29999923706055,63.400001525878906,36.586421966552734,6789100,JNJ
2002-04-26,63.2400016784668,64.44000244140625,63.150001525878906,63.61000061035156,36.7076301574707,5438400,JNJ
2002-04-29,63.29999923706055,63.900001525878906,62.90999984741211,62.90999984741211,36.303680419921875,6343300,JNJ
2002-04-30,62.91999816894531,64.30000305175781,62.83000183105469,63.86000061035156,36.85188674926758,8313800,JNJ
2002-05-01,63.970001220703125,64.62999725341797,63.869998931884766,63.95000076293945,36.903846740722656,7117100,JNJ
2002-05-02,63.75,64.19999694824219,63.54999923706055,64.19999694824219,37.048095703125,5380500,JNJ
2002-05-03,64.08000183105469,64.16999816894531,63.04999923706055,63.43000030517578,36.603755950927734,6039500,JNJ
2002-05-06,63.650001525878906,63.93000030517578,62.04999923706055,62.099998474121094,35.836246490478516,5620600,JNJ
2002-05-07,62.099998474121094,62.29999923706055,60.22999954223633,60.41999816894531,34.86676025390625,12821700,JNJ
2002-05-08,60.58000183105469,61.22999954223633,59.15999984741211,60.900001525878906,35.14374923706055,12847100,JNJ
2002-05-09,60.75,61.880001068115234,60.540000915527344,61.369998931884766,35.41497802734375,6005600,JNJ
2002-05-10,61.099998474121094,62.65999984741211,61.099998474121094,61.849998474121094,35.69196319580078,5920600,JNJ
2002-05-13,61.77000045776367,62.599998474121094,61.400001525878906,61.84000015258789,35.68621063232422,6086000,JNJ
2002-05-14,61.25,61.45000076293945,60.209999084472656,61.040000915527344,35.224552154541016,11451100,JNJ
2002-05-15,60.279998779296875,60.75,60.0,60.2400016784668,34.762901306152344,9889700,JNJ
2002-05-16,60.47999954223633,60.849998474121094,60.25,60.54999923706055,34.9417839050293,7215100,JNJ
2002-05-17,59.70000076293945,61.599998474121094,59.70000076293945,61.470001220703125,35.593196868896484,6402100,JNJ
2002-05-20,61.470001220703125,61.470001220703125,60.20000076293945,60.45000076293945,35.002586364746094,6951500,JNJ
2002-05-21,60.650001525878906,61.16999816894531,60.52000045776367,60.63999938964844,35.112586975097656,5296300,JNJ
2002-05-22,61.900001525878906,62.59000015258789,61.279998779296875,62.0,35.90009307861328,9556600,JNJ
2002-05-23,62.0,62.400001525878906,61.099998474121094,61.75,35.75532913208008,9079300,JNJ
2002-05-24,61.75,62.119998931884766,61.22999954223633,61.400001525878906,35.55265426635742,5640200,JNJ
2002-05-28,61.349998474121094,61.599998474121094,61.04999923706055,61.209999084472656,35.4426383972168,5106500,JNJ
2002-05-29,61.459999084472656,61.650001525878906,61.25,61.36000061035156,35.52949905395508,4892400,JNJ
2002-05-30,60.650001525878906,61.84000015258789,60.619998931884766,61.369998931884766,35.53528594970703,7590400,JNJ
